epoch,train_loss,valid_loss,train_mean_iou,valid_mean_iou
1,1.9707113071619888,,0.3107328414916992,
1,,1.7271295646141316,,0.39254069328308105
2,1.5654013365603159,,0.5212336182594299,
2,,1.4603512673542418,,0.5638325214385986
3,1.3662795919352777,,0.626430332660675,
3,,1.2745205509251563,,0.6646273136138916
4,1.2185276386945256,,0.6789547204971313,
4,,1.1438810447166705,,0.7065679430961609
5,1.1210532510447067,,0.7028141021728516,
5,,1.0453866292690408,,0.7319325804710388
6,1.0436271712680125,,0.7162600159645081,
6,,0.989231644005611,,0.7356019020080566
7,1.0120733523727359,,0.7307435870170593,
7,,0.968095064163208,,0.7403966188430786
8,0.9528834425417104,,0.7454859614372253,
8,,0.9386886300711796,,0.7426047921180725
9,0.8860372840141764,,0.7479363679885864,
9,,0.9345791294656951,,0.7434524297714233
10,0.8866193256111842,,0.7524654865264893,
10,,0.9404961433903924,,0.7421405911445618
11,0.8473437659594477,,0.7635918855667114,
11,,0.9397789227551427,,0.7428849339485168
12,0.8078199420784521,,0.7696583867073059,
12,,0.9295248093276188,,0.7483535408973694
13,0.7798641314439948,,0.7692839503288269,
13,,0.9304402182842123,,0.7459096312522888
14,0.7867224512243629,,0.7703816294670105,
14,,0.9302060254688921,,0.7501879334449768
15,0.7618600648020571,,0.7807869911193848,
15,,0.9344151020050049,,0.7512033581733704
16,0.7498381465641436,,0.782133162021637,
16,,0.9230351057545892,,0.7530395984649658
17,0.7162543913603597,,0.7893192768096924,
17,,0.9311911866582673,,0.7557030320167542
18,0.7074022366076099,,0.7920526266098022,
18,,0.9387836472741489,,0.7542718648910522
19,0.6838467550072839,,0.7924684286117554,
19,,0.921575036542169,,0.7529361248016357
20,0.6874651828846793,,0.7975261807441711,
20,,0.938669883793798,,0.7567828297615051
21,0.6691853047441592,,0.7955659627914429,
21,,0.9489893596747826,,0.755377471446991
22,0.6657439634187905,,0.8006657361984253,
22,,0.9468329117215913,,0.7617258429527283
23,0.6497666641797722,,0.8009192943572998,
23,,0.9419641811272194,,0.7574556469917297
24,0.6543336114361001,,0.8046571612358093,
24,,0.9457803746749615,,0.7631087303161621
25,0.6303660630475566,,0.8049450516700745,
25,,0.9446710553662531,,0.7661243081092834
26,0.629932838915242,,0.8096680045127869,
26,,0.9499434989074181,,0.7612394690513611
27,0.6027027332693115,,0.8123696446418762,
27,,0.9530286492972538,,0.7626146674156189
28,0.6105437692650919,,0.8077982664108276,
28,,0.9657773650925735,,0.7638881802558899
29,0.6013546683990609,,0.8138253092765808,
29,,0.9541100288259572,,0.7612765431404114
30,0.5862933563750745,,0.8105959892272949,
30,,0.9464106699516033,,0.7652294039726257
31,0.5798156798270028,,0.8168185949325562,
31,,0.9581428112654851,,0.7682693600654602
32,0.590814429118221,,0.8124537467956543,
32,,0.9496537101679835,,0.7636313438415527
33,0.5716167899642928,,0.814194917678833,
33,,0.9505719419183403,,0.7644813060760498
34,0.551600359948442,,0.8186047673225403,
34,,0.9528839333304043,,0.767515242099762
35,0.5602115145559342,,0.8222823143005371,
35,,0.9657981251848156,,0.7713295817375183
36,0.5437397485644938,,0.8221235871315002,
36,,0.9594032480798919,,0.7709300518035889
37,0.5167746007378452,,0.8248509168624878,
37,,0.981560912625543,,0.7703757882118225
38,0.544387550282299,,0.82341068983078,
38,,0.9639470018189529,,0.7702118754386902
39,0.5289798896883792,,0.8220174312591553,
39,,0.9639956947030692,,0.7735247611999512
40,0.5262616249211493,,0.8264613747596741,
40,,0.9697900069170985,,0.7722614407539368
41,0.5058225666029753,,0.8304310441017151,
41,,1.001415342709114,,0.7761518955230713
42,0.5141859595552807,,0.8327251076698303,
42,,0.9862421533157085,,0.7731650471687317
43,0.5061486564440578,,0.8339555859565735,
43,,0.9899632733443687,,0.7709547877311707
44,0.48972093809303996,,0.8314610123634338,
44,,0.9943307518959046,,0.7738872766494751
45,0.49225843983485285,,0.8360533714294434,
45,,1.0028407211961416,,0.775719165802002
46,0.48025483469189684,,0.8357158899307251,
46,,0.9768786163165651,,0.77482670545578
47,0.478602849515245,,0.8373820781707764,
47,,0.987759724978743,,0.7774033546447754
48,0.47390773460252966,,0.838223934173584,
48,,0.9898316399804477,,0.7768738269805908
49,0.4756294518357061,,0.8381683826446533,
49,,1.003054276005975,,0.779752790927887
50,0.44979991391701296,,0.8433881402015686,
50,,1.0070317769872732,,0.7786505222320557
